1,文６三河の国、八橋といふ所にいたりぬ。問：三河の国はどのあたりか。,愛知,八橋は名古屋市の近く。
2,文６三河の国、八橋といふ所にいたり《ぬ》。問：《　》の意味は？,完了,完了は「～てしま[う・った]。強意は「きっと」。下に推量の助動詞がある場合のみ、強意になる。例：花咲き《ぬ》べし（花は《きっと》咲くだろう）←この「べし」は推量(～だろう）
3,文７そこを八橋といひけるは、《水行く》川の蜘蛛手なれば、橋を八つ渡せるによりてなむ、八橋といひける。問：《　》の訳は？,水が流れる,
4,文７そこを八橋といひけるは、水行く川の《蜘蛛手》なれば、橋を八つ渡せるによりてなむ、八橋といひける。問：《　》の訳は？,蜘蛛の足,
5,文７そこを八橋といひけるは、水行く川の蜘蛛手《なれ》ば、橋を八つ渡せるによりてなむ、八橋といひける。問：《　》の助動詞の意味は？,断定,終止形は「なり」。訳は「だ・である」。
6,文７そこを八橋といひけるは、水行く川の蜘蛛手《なれ》ば、橋を八つ渡せるによりてなむ、八橋といひける。問：《　》は何形か。,已然形,「だ・である」と訳せる「なり」は、形容動詞のナリ活用と同じ活用の仕方（[なら|なり・に|なり|なる|なれ|なれ]でラ変型）をする。「なれ」になるのは已然形か、命令形だが、「ば」は命令形にはつかないので、已然形。
7,文７そこを八橋といひけるは、水行く川の蜘蛛手なれ《ば》、橋を八つ渡せるによりてなむ、八橋といひける。問：《　》の訳は？,～ので,断定の助動詞「なり」が「なれ」という形になるのは、已然形と命令形のとき（なら|なり・に|なり|なる|なれ|なれ）だが、「ば」は未然形か已然形にしかつかないから、この「なれ」は已然形である。●未然形＋「ば」→もし～ならば　●已然形＋「ば」で、「ば」の上の出来事が原因で「ば」の下の出来事が起こった場合→～ので　●已然形＋「ば」で、「ば」の上の出来事のあと「ば」の下の出来事が《たまたま》が起こった場合→～すると・～したところ
8,文７そこを八橋といひけるは、水行く川の蜘蛛手なれば、橋を八つ渡せ《る》によりてなむ、八橋といひける。問：《　》の意味は？,存続,終止形は「り」。●～の瞬間に注目→完了（～てしま[う・った]・た）　●～の後の状態に注目→存続（～ている・てある）
9,文７そこを八橋といひけるは、水行く川の蜘蛛手なれば、橋を八つ渡せるによりて《なむ》、八橋といひける。問：《　》の意味は？,強意,「なむ」は係り結びを起こす「ぞ・なむ・や・か・こそ」の「なむ」。「ぞ・なむ・や・か」があると文末は連体形、「こそ」があると文末は已然形になる。「ぞ・なむ・こそ」は強意、「や・か」は疑問か反語の意味を付け加える。
10,文７そこを八橋といひけるは、水行く川の蜘蛛手なれば、橋を八つ渡せるによりて《なむ》、八橋といひける。問：《　》があると文末は何形になるか。,連体,「なむ」は係り結びを起こす「ぞ・なむ・や・か・こそ」の「なむ」。「ぞ・なむ・や・か」があると文末は連体形、「こそ」があると文末は已然形になる。「ぞ・なむ・こそ」は強意、「や・か」は疑問か反語の意味を付け加える。
11,文８その《沢》のほとりの木のかげに下りゐて、乾飯食ひけり。問：《　》の「沢」とは？,谷川,
12,文８その沢のほとりの木のかげに《下りゐ》て、乾飯食ひけり。問：何から降りたのか。,馬,
13,文８その沢のほとりの木のかげに《下りゐ》て、乾飯食ひけり。問：《　》の訳は？,降りて座る,終止形は「下（お）りゐる」である。「ひいきにみゐ～る」の｢ゐる」（漢字で書けば居る）が、「下（お）る」についてできた言葉。「居る」は「座っている」という意味。
14,文９その沢にかきつばた《いと》おもしろく咲きたり。問：《　》の訳は？,とても,
15,文９その沢にかきつばたいと《おもしろく》咲きたり。問：《　》の品詞は？,形容詞,終止形は「おもしろし」である。
16,文９その沢にかきつばたいと《おもしろく》咲きたり。問：《　》の訳は？,美しく,
17,文９その沢にかきつばたいとおもしろく咲き《たり》。問：《　》の意味は？,存続,●～の瞬間に注目→完了（～てしま[う・った]・た）　●～の後の状態に注目→存続（～ている・てある）
18,文10それを見て、ある人《の》いはく、「かきつばたといふ五文字を句の上に据ゑて、旅の心をよめ。」と言ひければ、よめる。問：《　》の訳は？,が,
19,文10それを見て、ある人の《いはく》、「かきつばたといふ五文字を句の上に据ゑて、旅の心をよめ。」と言ひければ、よめる。問：《　》の訳は？,言うには,
20,文10それを見て、ある人のいはく、「かきつばたといふ五文字を句の上に《据ゑ》て、旅の心をよめ。」と言ひければ、よめる。問：《　》の活用の行は？,ワ行,終止形は「据う」で、「ず」をつけると「据《ゑ》ず」となり、「ず」の上がエ段になるので、下二段活用。「ゑ」が何行に含まれるているかを考える。
21,文10それを見て、ある人のいはく、「かきつばたといふ五文字を句の上に据ゑて、旅の心をよめ。」と言ひ《けれ》ば、よめる。問：《　》は何形か？,已然,「けれ」は過去の助動詞で、終止形は「けり」。「けり」はラ変型で、「けら|○|けり|ける|けれ|○」と活用する。
22,文10それを見て、ある人のいはく、「かきつばたといふ五文字を句の上に据ゑて、旅の心をよめ。」と言ひけれ《ば》、よめる。問：《　》の訳は？,～ので,◎直前の「けれ」は已然形である。●未然形＋「ば」：もし～ならば　●已然形＋ば：①「ば」の上の出来事が原因で、「ば」の下の出来事が起こった場合→～ので　②「ば」の上の出来事のあと、「ば」の下の出来事が《たまたま》が起こった場合→～すると・～したところ
23,文10それを見て、ある人のいはく、「かきつばたといふ五文字を句の上に据ゑて、旅の心をよめ。」と言ひければ、よめ《る》。問：《　》の意味は？,完了,※終止形は「り」。「たり」と同じ意味を持つ。●～の瞬間に注目→完了（～てしま[う・った]・た）　●～の後の状態に注目→存続（～ている・てある）。※文末なのに連体形の「る」になっている理由→「…よめ《る》歌。」と書くべきところなのに「歌」を省略して書いてしまったため。（名詞は消えてしまったが、連体形という形だけ残った。）歌を紹介するときはこういう書き方（「歌」を省略する書き方）をよくする。
24,文11《唐衣》きつつなれにしつましあればはるばるきぬる旅をしぞ思ふ　問：《　》の「唐衣」とは？,衣服のことを美しい響きで言い表したもの,中国はあこがれの国だったので、きれいな服を唐衣と呼んだ。ただ、この歌を詠んだとき、きれいな服を着ていたわけではない。歌の中はキラキラ感じにしたいので、ただの服でも「唐衣」という表現にすることが多かった。
25,文11唐衣き《つつ》なれにしつましあればはるばるきぬる旅をしぞ思ふ　問：《　》の訳は？,～し続けて,①二種類の行動を交互に実施→～ては　例：Ａ竹を取り《つつ》（竹を取っては）Ｂよろづのことに使ふ　※「Ａ→Ｂ」の繰り返し　②一種類の行動の継続→;～し続けて　例：思ひつつ（思い続けて）ありけり　③※二種類の行動を同時に実施→～しながら　例：歌をＡ《聞き》つつ、Ｂ《舟を漕ぐ》
26,文11唐衣きつつ《なれ》にし《つま》しあれば《はるばる》《き》ぬる旅をしぞ思ふ　問：《　》のように一つの言葉に二つの意味を持たせたものを何と言うか。,掛詞,●なれ[終止形『なる』]→「褻る」([衣服が]よれよれになる）と「慣る」（慣れ親しむ）　●つま→「褄」（＝裾[すそ]）と「妻」　●はるばる→「遙々」（遠くはるばる）と「張る張る」（ぴんと張る）　●き→「着」と「来」　※選択肢の読み方：掛詞（かけことば）・枕詞（まくらことば）・折句（おりく）・縁語（えんご）　
27,文11唐衣きつつなれ《に》しつましあればはるばるきぬる旅をしぞ思ふ　問：《　》の意味は？,完了,助動詞「ぬ」が活用したもの。助動詞「ぬ」はラ変型[な|《に》|ぬ|ぬる|ぬれ|ね]。「ぬ」は二つの意味を持つ。①完了（～てしま[う・った]・た）②強意（きっと～）※下に推量の助動詞がある場合のみ、強意になる。例花咲き《ぬ》べし（花は《きっと》咲くだろう）←この「べし」は推量(～だろう）
28,文11唐衣きつつなれにしつましあればはるばるき《ぬる》旅をしぞ思ふ　問：《　》の意味は？,完了,助動詞「ぬ」が活用したもの。助動詞「ぬ」はラ変型[な|に|ぬ|《ぬる》|ぬれ|ね]。「ぬ」は二つの意味を持つ。①完了（～てしま[う・った]・た）②強意（きっと～）※下に推量の助動詞がある場合のみ、強意になる。例花咲き《ぬ》べし（花は《きっと》咲くだろう）←この「べし」は推量(～だろう）
29,文11唐衣きつつなれに《し》つましあればはるばるきぬる旅をしぞ思ふ　問：《　》を文法的に説明せよ。,過去の助動詞「き」の連体形,●「する」と訳せる場合→サ変動詞「す」の連用形（せ|《し》|す|する|すれ|せよ）例　うつくしきさま《し》て　●連用形＋「し」＋名詞の場合→過去の助動詞「き」の連体形（せ|○|き|《し》|しか|○）　例　過ぎ去り《し》日々　●削除しても不自然にならない場合→強意の意味を付け加える助詞　※《連用形＋し＋名詞》の「し」がなぜ過去の助動詞「き」と言えるのか→①上が連用形だから、連用形につく助動詞のはず。②下が名詞だから連体形になっているはず。①＋②→連用形につく助動詞で、連体形が「し」になるのは過去の助動詞「き」だけ。
30,文11唐衣きつつなれにしつま《し》あればはるばるきぬる旅をしぞ思ふ　問：《　》を文法的に説明せよ。,強意の意味を付け加える助詞,●「する」と訳せる場合→サ変動詞「す」の連用形（せ|《し》|す|する|すれ|せよ）例　うつくしきさま《し》て　●連用形＋「し」＋名詞の場合→過去の助動詞「き」の連体形（せ|○|き|《し》|しか|○）　例　過ぎ去り《し》日々　●削除しても不自然にならない場合→強意の意味を付け加える助詞　※《連用形＋し＋名詞》の「し」がなぜ過去の助動詞「き」と言えるのか→①上が連用形だから、連用形につく助動詞のはず。②下が名詞だから連体形になっているはず。①＋②→連用形につく助動詞で、連体形が「し」になるのは過去の助動詞「き」だけ。
31,文11唐衣きつつなれにしつましあればはるばるきぬる旅を《し》ぞ思ふ　問：《　》を文法的に説明せよ。,強意の意味を付け加える助詞,●「する」と訳せる場合→サ変動詞「す」の連用形（せ|《し》|す|する|すれ|せよ）例　うつくしきさま《し》て　●連用形＋「し」＋名詞の場合→過去の助動詞「き」の連体形（せ|○|き|《し》|しか|○）　例　過ぎ去り《し》日々　●削除しても不自然にならない場合→強意の意味を付け加える助詞　※《連用形＋し＋名詞》の「し」がなぜ過去の助動詞「き」と言えるのか→①上が連用形だから、連用形につく助動詞のはず。②下が名詞だから連体形になっているはず。①＋②→連用形につく助動詞で、連体形が「し」になるのは過去の助動詞「き」だけ。
32,文11唐衣きつつなれにしつまし《あれ》ばはるばるきぬる旅をしぞ思ふ　問：《　》は何形か。,已然形,「あり」はラ変型[ら|り|り|る|れ|れ]で活用する。「あれ」になるのは已然形か、命令形だが、「ば」は命令形にはつかないので、已然形。
33,文11唐衣きつつなれにしつましあれ《ば》はるばるきぬる旅をしぞ思ふ　問：《　》の訳は？,～ので,「あり」が「あれ」という形になるのは、已然形と命令形のとき（ら|り|り|る|れ|れ）だが、「ば」は未然形か已然形にしかつかないから、この「れ」は已然形である。●未然形＋「ば」→もし～ならば　●已然形＋「ば」で、「ば」の上の出来事が原因で「ば」の下の出来事が起こった場合→～ので　●已然形＋「ば」で、「ば」の上の出来事のあと「ば」の下の出来事が《たまたま》が起こった場合→～すると・～したところ
34,文11唐衣きつつなれにしつましあればはるばるきぬる旅をし《ぞ》思ふ　問：《　》の意味は？,強意,「ぞ」は係り結びを起こす「ぞ・なむ・や・か・こそ」の「ぞ」。「ぞ・なむ・や・か」があると文末は連体形、「こそ」があると文末は已然形になる。「ぞ・なむ・こそ」は強意、「や・か」は疑問か反語の意味を付け加える。
35,文11唐衣きつつなれにしつましあればはるばるきぬる旅をしぞ《思ふ》　問：「思ふ」は何形か。,連体,直前の「ぞ」は係り結びを起こす「ぞ・なむ・や・か・こそ」の「ぞ」。「ぞ・なむ・や・か」があると文末は連体形、「こそ」があると文末は已然形になる。「ぞ・なむ・こそ」は強意、「や・か」は疑問か反語の意味を付け加える。
36,文11唐衣きつつなれにしつましあればはるばるきぬる旅をしぞ思ふ　問：この歌はどういう思いをどのように表現したものか。,まだ旅の序盤で、表だって妻への思いを歌うわけにもいかず、その思いを着物の調子をユーモラスに歌う中に潜めている。,
37,文12とよめ《り》ければ、みな人、乾飯の上に涙落としてほとびにけり。　問：《　》の意味は？,完了,※「たり」と同じ意味を持つ助動詞。終止形は「り」。ラ変型で活用（ら・《り》・り・る・れ・れ）。下にある「けり」が連用形につく助動詞なので、ここでは連用形になっている。●～の瞬間に注目→完了（～てしまう・った]・た）　●～の後の状態に注目→存続（～ている・てある）。
38,文12とよめり《けれ》ば、みな人、乾飯の上に涙落としてほとびにけり。　問：《　》の活用形は？,已然,「けれ」は過去の助動詞で、終止形は「けり」。「けり」はラ変型で、「けら|○|けり|ける|けれ|○」と活用する。
39,文12とよめりけれ《ば》、みな人、乾飯の上に涙落としてほとびにけり。　問：《　》の訳は？,～ので,◎直前の「けれ」は已然形である。●未然形＋「ば」：もし～ならば　●已然形＋ば：①「ば」の上の出来事が原因で、「ば」の下の出来事が起こった場合→～ので　②「ば」の上の出来事のあと、「ば」の下の出来事が《たまたま》が起こった場合→～すると・～したところ
40,文12とよめりければ、みな人、乾飯の上に涙落として《ほとび》にけり。　問：《　》の訳は？,ふやける,終止形は「ほとぶ」（「潤ぶ」）
41,文12とよめりければ、みな人、乾飯の上に涙落として《ほとび》にけり。　問：《　》の主語は？,乾飯,
42,文12とよめりければ、みな人、乾飯の上に涙落としてほとび《に》けり。　問：《　》の活用形は？,連用,「《に》けり」とある場合は、だいたいの場合、「に」（完了の助動詞「ぬ」が活用したもの）＋「けり」（過去の助動詞）で、「～てしまった」と訳す。完了の助動詞「ぬ」はナ変型[な|《に》|ぬ|ぬる|ぬれ|ね]で活用する。
43,問：「唐衣きつつなれにしつましあればはるばるきぬる旅をしぞ思ふ」という歌で友人たちが泣いたのはなぜか。,都に恋しく思う人を残していたから,
44,問：「唐衣きつつなれにしつましあればはるばるきぬる旅をしぞ思ふ」の歌と「乾飯の上に涙落としてほとびにけり」という表現に共通する特徴は？,おかしさの中ににじむ悲しみを描いていること,
