1,文13《行き行きて》、駿河の国にいたりぬ。問：《　》の訳は？,どんどん行って, 同じ動詞を重ねて使っている場合はその動作が継続していることを表す。
2,文13行き行きて、駿河の国にいたり《ぬ》。問：《　》の意味は？,完了,完了は「～てしま[う・った]。強意は「きっと」。下に推量の助動詞がある場合のみ、強意になる。例：花咲き《ぬ》べし（花は《きっと》咲くだろう）←この「べし」は推量(～だろう）
3,文14宇津の山にいたりて、《わ》が入らむとする道はいと暗う細きに、蔦・楓は茂り、もの心細く、すずろなる目を見ることと思ふに、修行者会ひたり。問：《　》は誰を指す？,男（主人公）,「思ふ」まで男（主人公）の視点で語られている。
4,文14宇津の山にいたりて、わが入らむとする道はいと暗う細きに、蔦・楓は茂り、もの心細く、すずろなる目を見ることと《思ふ》に、修行者会ひたり。問：《　》の主語は？,男（主人公）,「思ふ」まで男（主人公）の視点で語られている。
5,文14宇津の山にいたりて、わが入ら《む》とする道はいと暗う細きに、蔦・楓は茂り、もの心細く、すずろなる目を見ることと思ふに、修行者会ひたり。問：《　》の意味は？,意志（しよう）,自分の未来なら意志。自分以外の未来なら推量。なお、「思ふ」まで男（主人公）の視点で語られている。
6,文14宇津の山にいたりて、わが入らむとする道は《いと》暗う細きに、蔦・楓は茂り、もの心細く、すずろなる目を見ることと思ふに、修行者会ひたり。問：《　》の訳は？,とても,
7,文14宇津の山にいたりて、わが入らむとする道はいと《暗う》細きに、蔦・楓は茂り、もの心細く、すずろなる目を見ることと思ふに、修行者会ひたり。問：《　》の品詞は？,形容詞,終止形は「暗し」。
8,文14宇津の山にいたりて、わが入らむとする道はいと《暗う》細きに、蔦・楓は茂り、もの心細く、すずろなる目を見ることと思ふに、修行者会ひたり。問：《　》を通常の形に戻せ。,暗く,形容詞の連用形の「く」は「う」に変わってしまう場合がある。このように言いやすい方向に音が変化することを音便(おんびん)と呼び、「う」に変わってしまう場合はウ音便と呼ぶ。ウ音便の例：高《く》→高《う》／うれし《く》→うれし《う》
9,文14宇津の山にいたりて、わが入らむとする道はいと暗う《細き》に、蔦・楓は茂り、もの心細く、すずろなる目を見ることと思ふに、修行者会ひたり。問：《　》の活用の種類は？,ク活用,終止形にすると「細し」になる。「なる」をつけると「細くなる」となり、「し」が消える。
10,文14宇津の山にいたりて、わが入らむとする道はいと暗う《細き》に、蔦・楓は茂り、もの心細く、すずろなる目を見ることと思ふに、修行者会ひたり。問：《　》は何形になっているか。,連体,ク活用の活用表＝く・から|く・かり|し|き・かる|けれ|かれ|
11,文14宇津の山にいたりて、わが入らむとする道はいと暗う細きに、蔦・楓は茂り、もの心細く、《すずろなる》目を見ることと思ふに、修行者会ひたり。問：《　》の語の品詞は？,形容動詞, 「思いがけない」という意味を表す語で、終止形は「すずろなり」になる。
