1,<u>丹塗</u>り,にぬ,
2,<u>剝</u>げた,は,
3,<u>飢饉</u>,ききん,
4,<u>災</u>い,わざわ,
5,<u>洛中</u>,らくちゅう,
6,<u>一通</u>り,ひととお,
7,<u>仏具</u>,ぶつぐ,
8,打ち<u>砕</u>いて,くだ,
9,金銀の<u>箔</u>,はく,
10,<u>薪</u>の料に売っていた,たきぎ,
11,<u>顧</u>みる,かえり,
12,<u>狐狸</u>,こり,
13,<u>棲</u>む,す,
14,<u>棄</u>てて行く,す,
15,<u>足踏</u>み,あしぶ,
16,<u>鴉</u>,からす,
17,輪を<u>描</u>いて,えが,
18,鴟尾の<u>周</u>り,まわ,
19,<u>殊</u>に門の上の空が…,こと,
20,<u>胡麻</u>をまいたように,ごま,
21,<u>刻限</u>が遅い,こくげん,
22,<u>崩</u>れ目,くず,
23,尻を<u>据</u>えて､,す,
24,右の<u>頰</u>,ほお,
25,<u>眺</u>めていた,なが,
26,<u>格別</u>どうしようという当てはない,かくべつ,
27,四､五日前に<u>暇</u>を出された,ひま,
28,一通りならず<u>衰微</u>していた,すいび,
29,<u>永年</u>､使われていた主人,ながねん,
30,小さな<u>余波</u>,よは,
31,<u>途方</u>に暮れていた,とほう,
32,雨が上がる<u>気色</u>がない,けしき,
33,<u>夕闇</u>,ゆうやみ,
34,<u>次第</u>に空を低くして,しだい,
35,斜めに突き出した<u>甍</u>,いらか,
36,<u>築土</u>の下,ついじ,
37,<u>道端</u>の土の上,みちばた,
38,同じ道を<u>低徊</u>した,ていかい,
39,この局所へ<u>逢着</u>した,ほうちゃく,
40,<u>大儀</u>そうに立ち上がった,たいぎ,
41,<u>夕冷</u>え,ゆうび,
42,<u>火桶</u>,ひおけ,
43,<u>山吹</u>の汗衫,やまぶき,
44,<u>紺</u>の襖,こん,
45,雨風の<u>憂</u>え,うれ,
46,門の上の<u>楼</u>,ろう,
47,<u>上</u>る,のぼ,
48,<u>梯子</u>,はしご,
49,<u>太刀</u>,たち,
50,わら<u>草履</u>,ぞうり,
51,短い<u>髭</u>,ひげ,
52,<u>濁</u>った､黄色い光,にご,
53,<u>隅々</u>に,すみずみ,
54,<u>蜘蛛</u>の巣,くも,
55,<u>天井裏</u>,てんじよううら,
56,<u>揺</u>れながら映った,ゆ,
57,<u>噂</u>に聞いた通り,うわさ,
58,<u>幾</u>つか,いく,
59,<u>死骸</u>,しがい,
60,<u>無造作</u>,むぞうさ,
61,<u>腐爛</u>,ふらん,
62,<u>臭気</u>,しゆうき,
63,鼻を<u>覆</u>った,おお,
64,<u>嗅覚</u>,きゅうかく,
65,<u>白髪頭</u>,しらがあたま,
66,松の<u>木切</u>れ,きぎ,
67,<u>六分</u>の恐怖,ろくぶ,
68,<u>四分</u>の好奇心,しぶ,
69,<u>暫時</u>,ざんじ,
70,<u>床板</u>,ゆかいた,
71,<u>挿</u>して,さ,
72,<u>憎悪</u>,ぞうお,
73,<u>語弊</u>がある,ごへい,
74,<u>飢</u>え死に,う,
75,何の<u>未練</u>もなく,みれん,
76,<u>大股</u>,おおまた,
77,弩にでも<u>弾</u>かれたように,はじ,
78,<u>慌</u>てふためいて,あわ,
79,<u>罵</u>った,ののし,
80,鶏の<u>脚</u>,あし,
81,太刀の<u>鞘</u>,さや,
82,白い<u>鋼</u>の色,はがね,
83,<u>険</u>しく,けわ,
84,円満に<u>成就</u>,じょうじゅ,
85,老婆を<u>見下</u>ろしながら,みお,
86,声を<u>和</u>らげて,やわ,
87,<u>縄</u>をかけて,なわ,
88,<u>今時分</u>,いまじぶん,
89,<u>肉食鳥</u>,にくしょくちょう,
90,<u>皺</u>,しわ,
91,<u>唇</u>,くちびる,
92,細い<u>喉</u>,のど,
93,<u>喉仏</u>,のどぼとけ,
94,<u>喘</u>ぎ,あえ,
95,<u>鬘</u>にしょうと思うたのじゃ,かつら,
96,<u>存外</u>,ぞんがい,
97,冷ややかな<u>侮蔑</u>,ぶべつ,
98,<u>先方</u>,せんぽう,
99,<u>蟇</u>のつぶやくような声,ひき,
100,蛇を<u>四寸</u>ばかりずつに切って,しすん,
101,<u>干</u>したのを,ほ,
102,干し<u>魚</u>,うお,
103,太刀帯の<u>陣</u>,じん,
104,売りに<u>往</u>んだわ,い,
105,<u>疫病</u>,えやみ,
106,太刀の<u>柄</u>,つか,
107,<u>冷然</u>として,れいぜん,
108,老婆を<u>捕</u>らえた時の勇気,と,
109,<u>嘲</u>るような声,あざけ,
110,<u>念</u>を押した,ねん,
111,<u>一足</u>前へ出る,ひとあし,
112,老婆の<u>襟上</u>,えりがみ,
113,<u>引剝</u>ぎ,ひは,
114,<u>恨</u>むまいな,うら,
115,<u>手荒</u>く,てあら,
116,死骸の上へ<u>蹴倒</u>した,けたお,
117,またたく<u>間</u>に,ま,
118,下人の<u>行方</u>,ゆくえ,
